date,open,high,low,close,volume
2005-01-03,354.409,371.0712,354.409,370.1174,23685843.0
2005-01-04,364.5974,371.3782,360.849,361.7348,20119886.0
2005-01-05,358.1232,363.9158,351.8194,361.1214,33908532.0
2005-01-06,357.7824,365.6194,356.147,358.4298,26893035.0
2005-01-07,359.8268,373.1158,359.52,368.5838,33939690.0
2005-01-10,373.3204,377.4094,361.3602,363.575,17497898.0
2005-01-11,364.6996,364.6996,356.4534,358.1914,15124268.0
2005-01-12,355.0564,361.8032,350.9674,353.2166,28942287.0
2005-01-13,355.0564,358.1232,353.6934,354.5112,27158036.0
2005-01-14,355.738,356.4196,348.3096,349.8432,26481742.0
2005-01-17,350.2862,353.0118,344.2206,348.5482,33255278.0
2005-01-18,350.9674,355.9084,347.0488,348.412,48248874.0
2005-01-19,350.9674,353.0462,348.2416,349.7066,25683441.0
2005-01-20,348.2416,350.763,343.5394,348.3778,25384632.0
2005-01-24,353.0118,355.3972,344.1866,345.1748,32549877.0
2005-01-25,344.834,347.7988,339.5182,341.6992,51507608.0
2005-01-27,344.1528,349.6046,342.7894,344.9704,39259652.0
2005-01-28,344.1528,357.0326,344.1528,356.2492,33198874.0
2005-01-31,356.76,364.461,356.0788,362.996,20669563.0
2005-02-01,364.5974,372.741,361.258,369.7766,41525725.0
2005-02-02,372.7754,373.1158,357.1008,363.8136,16445522.0
2005-02-03,364.5974,370.39,364.5974,368.7542,8457708.0
2005-02-04,369.3676,371.6846,362.9278,365.5174,14332299.0
2005-02-07,366.3012,367.9366,355.0564,361.2918,9380478.0
2005-02-08,359.8268,365.449,359.8268,363.4728,9198176.0
2005-02-09,364.6314,367.9708,364.1202,366.0624,7441594.0
2005-02-10,368.0048,371.0712,362.2122,369.6402,11675237.0
2005-02-11,370.0492,376.1144,370.0492,373.8312,20958963.0
2005-02-14,374.1382,377.4094,367.0848,370.1514,14641154.0
2005-02-15,370.7308,371.412,364.1884,367.2892,15073768.0
2005-02-16,368.107,370.5262,363.2342,364.427,11477977.0
