date,open,high,low,close,volume
2005-01-03,655.0,662.45,650.5,655.8,12567259.0
2005-01-04,659.0,659.9,646.0,649.85,12408534.0
2005-01-05,645.2,655.9,585.55,617.5,31988924.0
2005-01-06,601.0,628.0,598.0,604.6,30105774.0
2005-01-07,610.0,619.75,605.55,615.2,13980880.0
2005-01-10,617.9,623.55,597.15,599.7,14892795.0
2005-01-11,605.0,607.0,585.3,588.0,19195661.0
2005-01-12,590.0,594.8,561.1,573.2,17808292.0
2005-01-13,576.15,596.3,576.15,592.9,12649101.0
2005-01-14,592.0,601.5,573.0,578.45,19033968.0
2005-01-17,575.0,595.0,573.3,588.85,17344529.0
2005-01-18,592.55,599.0,581.35,584.25,15369520.0
2005-01-19,586.25,589.9,579.2,581.35,11460637.0
2005-01-20,582.0,582.0,568.0,576.25,12025002.0
2005-01-24,576.0,580.0,565.15,570.9,8355933.0
2005-01-25,565.1,586.8,552.5,582.15,9941389.0
2005-01-27,585.9,588.0,579.6,581.55,7284339.0
2005-01-28,581.5,629.8,580.9,622.75,34897913.0
2005-01-31,630.0,646.15,627.1,642.8,17268865.0
2005-02-01,645.0,646.0,631.0,634.15,13021547.0
2005-02-02,638.0,655.15,636.0,648.55,22698247.0
2005-02-03,645.0,661.4,645.0,656.05,21717928.0
2005-02-04,661.5,668.15,645.2,648.1,23020487.0
2005-02-07,652.0,656.0,640.0,642.65,11693403.0
2005-02-08,645.0,646.2,632.0,635.15,13603220.0
2005-02-09,640.0,654.0,638.65,652.35,12293804.0
2005-02-10,654.0,659.5,643.55,648.1,14291027.0
2005-02-11,649.1,657.0,649.0,654.15,8417055.0
2005-02-14,659.9,675.0,658.0,665.7,13026549.0
2005-02-15,662.5,669.9,654.65,661.3,11473821.0
2005-02-16,663.55,677.7,657.2,663.6,19359494.0
2005-02-17,663.25,663.9,651.5,659.5,21039373.0
2005-02-18,667.0,669.7,654.55,658.25,14035537.0
2005-02-21,659.3,665.25,651.65,660.75,23361836.0
2005-02-22,661.0,685.9,660.0,680.75,24143632.0
2005-02-23,681.25,686.0,674.1,677.1,18063559.0
2005-02-24,679.1,694.0,679.1,691.0,26135015.0
2005-02-25,692.0,695.0,681.1,685.25,16276475.0
2005-02-28,686.25,719.5,674.0,714.4,46954764.0
2005-03-01,715.55,716.45,692.55,695.3,30671305.0
2005-03-02,697.05,709.5,695.05,706.15,16947844.0
2005-03-03,707.0,719.95,705.55,717.4,18067152.0
2005-03-04,719.0,725.0,711.6,713.3,16761775.0
2005-03-07,716.9,734.95,715.15,726.5,19199730.0
2005-03-08,725.0,729.95,720.0,724.2,12056300.0
2005-03-09,729.0,731.9,713.0,720.85,16413292.0
2005-03-10,722.1,744.85,715.0,742.5,25580867.0
2005-03-11,743.0,750.7,735.0,736.7,19091466.0
2005-03-14,739.0,742.9,730.0,733.85,14199444.0
2005-03-15,731.0,737.8,725.0,731.3,15215342.0
2005-03-16,732.8,737.9,724.2,728.1,12765039.0
2005-03-17,724.7,732.25,722.0,726.45,13757864.0
2005-03-18,726.0,730.0,712.55,728.0,18884729.0
2005-03-21,730.0,731.0,718.0,722.45,9616722.0
2005-03-22,718.0,722.0,688.3,693.0,19440997.0
2005-03-23,689.0,693.35,650.1,657.95,25245273.0
2005-03-24,657.0,672.9,652.8,665.7,34597856.0
