date,open,high,low,close,volume
2005-01-03,168.725,169.75,167.2814,169.15,1185200.0
2005-01-04,168.8438,169.5,166.75,167.5438,1312656.0
2005-01-05,166.25,167.2626,160.125,165.6,3669696.0
2005-01-06,165.875,168.125,161.5188,164.9876,3441640.0
2005-01-07,166.25,168.0876,163.8876,167.425,2627176.0
2005-01-10,168.75,170.125,165.1876,166.0626,2442576.0
2005-01-11,166.5,167.225,162.5,164.1938,3072184.0
2005-01-12,166.25,170.975,160.9064,162.15,7859264.0
2005-01-13,166.125,166.875,159.0126,161.6314,13729432.0
2005-01-14,163.125,164.75,159.8688,162.1188,6646864.0
2005-01-17,163.1314,164.85,155.1688,157.6626,5748408.0
2005-01-18,159.25,160.625,157.25,157.9438,2838616.0
2005-01-19,158.75,159.125,156.4064,156.8376,1830872.0
2005-01-20,156.875,157.5,153.75,155.1876,2383312.0
2005-01-24,155.625,156.125,151.875,152.45,2069208.0
2005-01-25,152.0,154.75,150.625,154.3376,1968368.0
2005-01-27,155.0,156.625,154.5,154.9376,1682024.0
2005-01-28,155.625,161.875,155.5,161.225,2935592.0
2005-01-31,161.8688,164.0,161.375,162.5814,2620200.0
2005-02-01,163.125,165.125,161.0,164.4876,4152952.0
2005-02-02,164.625,165.375,162.6564,163.2064,2140728.0
2005-02-03,163.625,164.25,162.65,163.7064,1440992.0
2005-02-04,163.75,165.2312,162.75,163.3188,834168.0
2005-02-07,164.375,166.0,162.625,163.8876,1431688.0
2005-02-08,164.0,165.4,163.3876,164.9626,1210352.0
2005-02-09,165.2814,167.9376,165.0,166.55,2184392.0
2005-02-10,166.2626,167.9064,165.1126,166.675,1345040.0
2005-02-11,168.1376,173.125,168.1376,172.7312,3679064.0
2005-02-14,175.0,177.5,173.875,175.9,2750184.0
2005-02-15,176.5,176.5,171.6564,172.7188,1409680.0
2005-02-16,173.75,174.4876,170.25,171.0,1504504.0
2005-02-17,171.625,173.1126,169.75,172.625,1933704.0
2005-02-18,172.625,173.9376,170.0,171.6626,1006952.0
2005-02-21,171.25,171.8376,170.2126,170.7312,501624.0
2005-02-22,171.0,171.0,168.8876,170.375,913656.0
2005-02-23,170.625,172.75,169.3938,172.0876,1550864.0
2005-02-24,172.5,174.6812,170.375,171.2688,3360776.0
2005-02-25,172.4626,172.725,169.125,170.5376,1925512.0
2005-02-28,170.625,173.0314,167.3876,172.6126,2737848.0
2005-03-01,172.25,173.125,168.8876,169.475,2026680.0
2005-03-02,169.875,171.475,169.875,170.975,693376.0
2005-03-03,171.25,174.375,170.5,173.475,981016.0
2005-03-04,174.5376,175.25,172.9438,173.8938,1390408.0
2005-03-07,174.6876,176.0,174.375,175.1126,1422624.0
2005-03-08,175.0,177.625,174.45,176.8688,1695912.0
2005-03-09,176.25,178.35,174.45,176.075,2019624.0
2005-03-10,175.25,176.375,174.3938,175.6812,944840.0
2005-03-11,176.125,179.375,175.75,178.6062,1562816.0
2005-03-14,180.0,182.75,177.5064,181.5376,2008952.0
2005-03-15,181.875,182.25,179.375,179.7876,1448920.0
2005-03-16,180.0,183.125,180.0,181.4564,1416680.0
2005-03-17,180.625,184.25,176.2814,182.8938,2336608.0
2005-03-18,182.4626,183.7564,178.3938,183.5126,1985600.0
2005-03-21,183.875,184.375,180.375,181.525,1549280.0
2005-03-22,181.875,182.125,180.0,180.2814,1185064.0
2005-03-23,180.625,181.25,176.525,177.525,1458192.0
2005-03-24,178.125,178.5,172.625,173.1876,1822368.0
2005-03-28,173.75,176.0,173.125,173.9376,1295392.0
2005-03-29,174.4876,174.4876,170.5,171.275,1079872.0
2005-03-30,171.625,175.375,170.0,173.65,1433008.0
2005-03-31,175.0,180.625,174.7,179.0938,1918896.0
2005-04-01,178.75,181.625,166.5562,180.8688,1749488.0
2005-04-04,181.25,182.0,167.375,178.3314,1443520.0
2005-04-05,178.75,180.3126,177.125,178.3,1322568.0
2005-04-06,178.75,180.5,177.5126,180.1062,678240.0
2005-04-07,181.125,181.125,177.75,178.1188,938848.0
2005-04-08,178.375,179.3626,173.7626,174.3814,1407504.0
2005-04-11,174.3814,174.3814,170.0,170.4,1037656.0
2005-04-12,170.6876,173.125,170.375,172.7938,1008432.0
2005-04-13,173.75,175.625,173.4,175.0626,1476944.0
2005-04-15,168.625,169.875,164.375,164.875,3840504.0
2005-04-18,164.375,168.625,161.875,165.025,2317560.0
2005-04-19,163.75,168.5876,147.5,151.2188,11810048.0
2005-04-20,148.625,148.625,136.375,139.4564,22108944.0
2005-04-21,139.375,143.4876,138.75,142.775,5748536.0
2005-04-22,144.3876,146.3062,143.1438,145.7938,4940368.0
2005-04-25,144.875,145.875,143.5626,144.7438,2124728.0
2005-04-26,143.5,145.375,142.125,142.5814,1346680.0
2005-04-27,141.25,141.25,138.8876,139.8,2118976.0
2005-04-28,139.75,140.75,137.625,139.2126,1941408.0
2005-04-29,139.125,143.0,139.125,141.2814,3941336.0
2005-05-02,141.25,144.7376,139.775,141.125,1952848.0
2005-05-03,141.125,141.875,138.1376,138.525,1854616.0
2005-05-04,139.0,140.6062,138.525,140.0876,1549384.0
2005-05-05,141.1126,143.7188,140.9876,142.0876,2341072.0
2005-05-06,142.4876,146.5,141.5376,145.8814,2253304.0
2005-05-09,146.4376,147.7438,145.8876,146.55,1435024.0
2005-05-10,147.3376,147.3376,143.3376,143.9626,2811480.0
2005-05-11,143.5126,144.35,142.3626,143.8626,1109208.0
2005-05-12,143.7438,145.15,142.9376,143.3062,1740520.0
2005-05-13,143.625,143.875,142.5,143.525,771864.0
2005-05-16,143.5,144.875,142.875,144.225,2664544.0
2005-05-17,145.1626,145.6,143.025,143.75,1394864.0
2005-05-18,143.125,143.75,140.3126,143.0376,1741168.0
2005-05-19,144.5,146.4376,144.125,145.3,1004512.0
2005-05-20,145.4626,146.5,142.625,146.0314,780088.0
2005-05-23,146.25,154.625,146.25,153.0376,3246624.0
2005-05-24,153.125,154.25,150.75,153.6688,1590632.0
2005-05-25,151.8814,158.75,151.8814,157.3876,4327288.0
2005-05-26,156.875,161.125,156.3938,160.5626,2528080.0
2005-05-27,161.25,162.375,157.125,158.7876,2176240.0
2005-05-30,158.75,166.6438,156.875,164.9376,5361736.0
2005-05-31,165.5,167.9938,163.1376,166.9,3453688.0
2005-06-01,166.225,166.225,162.25,163.0126,2316032.0
2005-06-02,162.9376,163.875,158.125,158.5314,2918936.0
2005-06-03,158.5314,161.8876,157.625,161.5314,2740592.0
